key,date,time_rd,lottery,draw,generated_at,best_signal,best_a11,ok_alert,top12,top6,pales10,graded,topq,pales,fingerprint,source_rows_hist_used
2026-02-05|Anguilla|Anguila 6PM|2026-02-05 18:00,2026-02-05,2026-02-05 18:00,Anguilla,Anguila 6PM,2026-02-05T17:51:39.279873-04:00,0.008611554574868563,9,False,"[""63"", ""45"", ""62"", ""33"", ""94"", ""59"", ""52"", ""39"", ""03"", ""26"", ""48"", ""46""]","[""63"", ""45"", ""62""]","[""45-63"", ""62-63"", ""33-63""]",1,,,,
2026-02-05|La Primera|Quiniela La Primera Noche|2026-02-05 20:00,2026-02-05,2026-02-05 20:00,La Primera,Quiniela La Primera Noche,2026-02-05T19:56:40.115293-04:00,0.004346122948401492,14,True,"[""68"", ""10"", ""50"", ""08"", ""04"", ""05"", ""15"", ""75"", ""74"", ""98"", ""18"", ""11""]","[""68"", ""10"", ""50""]","[""10-68"", ""50-68"", ""08-68""]",1,,,,
2026-02-05|Anguilla|Anguila 9PM|2026-02-05 21:00,2026-02-05,2026-02-05 21:00,Anguilla,Anguila 9PM,2026-02-05T20:24:57.483635-04:00,0.006375577954227729,8,False,"[""57"", ""81"", ""55"", ""02"", ""63"", ""18"", ""53"", ""28"", ""90"", ""05"", ""32"", ""83""]",,,1,"[""57"", ""81"", ""55""]","[""57-81"", ""55-57"", ""02-57""]",,
2026-02-05|La Nacional|Loteria Nacional- Noche|2026-02-05 21:30,2026-02-05,2026-02-05 21:30,La Nacional,Loteria Nacional- Noche,2026-02-05T21:07:53.110355-04:00,0.0015932163027567883,12,True,"[""67"", ""87"", ""47"", ""49"", ""61"", ""05"", ""90"", ""75"", ""72"", ""11"", ""13"", ""63""]",,,1,"[""67"", ""87"", ""47""]","[""67-87"", ""47-67"", ""49-67""]",,
2026-02-06|Anguilla|Anguila 10AM|2026-02-06 10:00,2026-02-06,2026-02-06 10:00,Anguilla,Anguila 10AM,2026-02-06T07:50:45.193716-04:00,0.005792370299539739,10,False,"[""35"", ""58"", ""85"", ""23"", ""92"", ""21"", ""89"", ""78"", ""27"", ""05"", ""76"", ""83""]",,,1,"[""35"", ""58"", ""85""]","[""35-58"", ""35-85"", ""23-35""]",,
2026-02-06|La Primera|Quiniela La Primera|2026-02-06 12:00,2026-02-06,2026-02-06 12:00,La Primera,Quiniela La Primera,2026-02-06T10:29:16.387191-04:00,0.0027391413590361706,11,True,"[""54"", ""91"", ""22"", ""88"", ""87"", ""85"", ""45"", ""62"", ""78"", ""41"", ""80"", ""24""]",,,1,"[""54"", ""91"", ""22""]","[""54-91"", ""22-54"", ""54-88""]",,
2026-02-06|Anguilla|Anguila 1PM|2026-02-06 13:00,2026-02-06,2026-02-06 13:00,Anguilla,Anguila 1PM,2026-02-06T12:36:43.582479-04:00,0.0056645169557125955,11,False,"[""43"", ""98"", ""77"", ""76"", ""36"", ""57"", ""33"", ""30"", ""59"", ""82"", ""65"", ""94""]",,,1,"[""43"", ""98"", ""77""]","[""43-98"", ""43-77"", ""43-76""]",,
2026-02-06|La Nacional|Loteria Nacional- Gana Más|2026-02-06 14:30,2026-02-06,2026-02-06 14:30,La Nacional,Loteria Nacional- Gana Más,2026-02-06T13:15:37.669253-04:00,0.001834429067286429,13,True,"[""25"", ""40"", ""65"", ""29"", ""82"", ""08"", ""44"", ""14"", ""37"", ""20"", ""75"", ""89""]",,,1,"[""25"", ""40"", ""65""]","[""25-40"", ""25-65"", ""25-29""]",,
2026-02-06|Anguilla|Anguila 6PM|2026-02-06 18:00,2026-02-06,2026-02-06 18:00,Anguilla,Anguila 6PM,2026-02-06T17:56:35.855433-04:00,0.008586803110560669,9,False,"[""63"", ""45"", ""62"", ""33"", ""59"", ""94"", ""52"", ""39"", ""03"", ""46"", ""26"", ""48""]",,,1,"[""63"", ""45"", ""62""]","[""45-63"", ""62-63"", ""33-63""]",,
2026-02-06|La Primera|Quiniela La Primera Noche|2026-02-06 19:00,2026-02-06,2026-02-06 19:00,La Primera,Quiniela La Primera Noche,2026-02-06T18:54:47.238296-04:00,0.004337597120389272,14,True,"[""68"", ""10"", ""50"", ""08"", ""04"", ""05"", ""15"", ""75"", ""74"", ""98"", ""18"", ""11""]",,,1,"[""68"", ""10"", ""50""]","[""10-68"", ""50-68"", ""08-68""]",,
